"","","","vMean.val","vVar.val"
"200",156,0,0.0194115967894985,6.05399551913282e-07
"201",215,0,0.0194108194325292,4.68497853362545e-07
"202",220,0,0.0194070105292116,6.41883754219102e-07
"203",141,0,0.0194037450420693,7.2350554821878e-07
"204",163,0,0.0193933957915242,8.71287077711962e-07
"205",362,0,0.0193670153733331,6.74622716467136e-07
"206",132,0,0.0193581427505602,4.84581272038623e-07
"207",205,0,0.0193525257102426,3.4984212365181e-07
"208",190,0,0.0193256798263505,6.95769319012523e-07
"209",95,0,0.0193170371643002,5.79796446226817e-07
"210",307,0,0.0193143884411292,6.56489207151366e-07
"211",341,0,0.0193056773872245,5.02674004778738e-07
"212",225,0,0.0192945474773519,7.69784904394863e-07
"213",201,0,0.0192941302691105,6.44097330573863e-07
"214",232,0,0.0192673642926806,7.83834479567844e-07
"215",274,0,0.0192597456019837,5.96857578461378e-07
"216",172,0,0.0192322555624728,5.90337333017273e-07
"217",378,0,0.0192280211737488,6.63440611594754e-07
"218",381,0,0.0192048067473137,4.81443184889531e-07
"219",374,0,0.0191991130599669,5.46010785851579e-07
"220",320,0,0.019197532504814,1.12249593873928e-06
"221",36,0,0.0191795724172963,4.1726659402855e-07
"222",365,0,0.0191781680476053,4.89129807963338e-07
"223",122,0,0.0191672139415162,6.20116889193152e-07
"224",31,0,0.0191577251912331,1.00738746355326e-06
"225",299,0,0.0191520037115793,4.88842677641353e-07
"226",16,0,0.019147160214413,5.91301394043987e-07
"227",78,0,0.0191443915365577,6.99526780535426e-07
"228",145,0,0.0191270832035891,8.00509797833642e-07
"229",33,0,0.0190734465473872,7.84793476096107e-07
"230",110,0,0.0190525377771997,4.46290497968543e-05
"231",269,0,0.0190519822905722,7.60173282785421e-07
"232",336,0,0.0190503234759787,8.705939583167e-07
"233",237,0,0.0189986911793617,8.14408926410715e-07
"234",195,0,0.0189839514785909,1.15701055719917e-06
"235",76,0,0.0189807134730063,6.85857503147647e-07
"236",330,0,0.0189721613099945,7.11172830204109e-07
"237",143,0,0.0189701968422716,9.4136764997091e-07
"238",245,0,0.0189660305607663,8.57770399744868e-07
"239",191,0,0.0189517279263729,5.98240707940665e-07
